"Compressive
strength tests","Elastic
modulus tests","Flexural
strength tests","Splitting
tensile strength tests","Effective
water- to-cement ratio","Aggregate-
to-cement ratio (a/c)","RCA
replacement ratio (RCA %)","Parent
concrete strength(MPa)","Nominal
maximum RCA size(mm)","Nominal
maximum NA size(mm)","Bulk
density of RCA (kg/m3)","Bulk
density of NA (kg/m3)","Water
absorption of RCA(WARCA) (%)","Water
absorption of NA","Los
Angeles abrasion of RCA","Los
Angeles abrasion of NA","Density of
hardened
concrete
AD (qad)
(kg/m3)","Density of
hardened
concrete
SSD (qSSD)
(kg/m3)","Compressive
strength (f’c) (MPa)"
C2,C2,,C2,0.45,2.5,20,,20,20,2320,2540,5.3,1.8,,31,,,50.5
S2,C2,,C2,0.67,4,50,37.3,12,20,2010,2720,10.9,0.6,,,2388,,47.8
S2,,B1,,0.45,,0,28.25,25,25,2430,2650,5.2,2.9,34,22,,,34.12
S2,C2,,C2,0.53,5.27,0,,,,2445,2670,4.2,1.1,,,,,51.42
S1,C2,,,0.48,2.8,0,,19,25,,2860,,0.7,,,,,28.9
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S1,C1,,,0.5,3.2,50,,22,30,2420,2570,8.8,3,,,,,39.9
S2,C2,,C2,0.53,3.8,30,37.3,12,20,2010,2720,10.9,0.6,,,2445,,65.4
C2,C2,,C2,0.33,,60,,25,25,2480,2690,3.01,0.57,,,,,43.8
C2,,,,0.45,2.3,100,,19,25,2420,2740,5.4,,,,,2290,43.9
S1,,,,0.52,3.2,50,,32,22,2880,2970,4.4,0.8,,,,,41.2
S2,,,C1,0.45,2.5,50,,19,20,,,,,,,,,37
S2,C2,,C2,0.36,2.2,100,63.2,16,16,,,,,,,2260,,50.7
C1,C1,,,0.5,2.5,20,,20,20,,,,,,,,,42.7
S2,,,C1,0.27,3.7,0,,,,2540,2720,5.07,1.48,,,,,20
C2,,,,0.44,2.6,50,,20,19,2320,2590,5.8,1.2,32.2,29.1,,,44.6
C2,,,C1,0.5,3.4,100,,22,22,2380,,,,,,,,48.6
S2,,,,0.42,2.4,0,,32,32,,2840,,0.4,,,,,38.6
C1,C1,,C1,0.44,2.5,50,,19,19,2320,2730,5.3,0.5,37,23,,2450,63.5
S1,C2,,C2,0.66,3.4,100,,22,20,2387,,6.9,,,,,,35.7
,,,,,,,,,,,,,,,,,,
C1,C1,,,0.34,1.9,100,,30,19,2520,,3.8,,34,,,,44.4
,,,,,,,,,,,,,,,,,,
C2,C2,,,0.45,3.1,50,41.4,20,22,2451,2581,7.3,1.2,40,24.8,,,55
C2,,B1,C2,0.72,5.8,0,,20,20,,2680,,1.53,,20,,,30.8
S1,,,,0.41,1.7,30,,20,20,2400,2600,3.5,0.7,,,2367,,53.7
S1,C2,,C2,0.65,3.3,0,,19,20,,2720,,0.2,,25,,,20.2
C1,C1,B1,,0.67,3.5,0,,25,25,,2630,,1.2,,,,,23.6
S2,C1,B1,C1,0.29,2.8,20,40,10,10,2300,2680,5.9,2.1,24.3,24.8,2470,,104.3
C1,,B1,C1,0.24,4.5,20,,,,2530,2700,4.6,0.5,43.3,30.2,,,13.5
C2,C2,,C2,0.5,2.6,0,,16,20,,2720,,2,,23,,2360,44.8
C2,C2,,,0.54,2.9,100,41.4,20,22,2451,,7.3,,40,,,,45.2
C2,C2,,,0.5,3.5,30,,20,22,2340,2510,5.3,1.4,,,,,25
